modelo,categoria,nombre,image_url,product_page_url,source_url,description,key_facts,catalogo,estudio_de_caso,manual_de_instrucciones,modelo_especifico,numero_de_articulo,Rango de temperatura,Desviación de temperatura a 37 °C,Fluctuación de la temperatura a 37 °C,Tiempo de calentamiento a 37 °C,Tensión nominal,Frecuencia de red,Potencia nominal,Fusible del equipo,Fase (tensión nominal),Puertas exteriores,Cantidad de bandejas (est./máx.),Desviación de temperatura a 100 °C,Fluctuación de la temperatura a 100 °C,Tiempo de calentamiento a 100 °C,Tiempo de recuperación tras 30 s con la puerta abierta a 37 °C,Puertas interiores,Nivel de presión acústica,Consumo energético a 100 °C,Consumo energético a 37 °C,Compensación de calor máxima a 37 °C,Compensación de calor máxima a 40 °C,Rango de humedad,Rango de CO₂,Tecnología de medición de CO₂,Tiempo de recuperación de CO₂ tras 30 s con la puerta abierta y un 5 % de vol. de CO₂,Rango de regulación de O₂ estándar,Rango de regulación de O₂ por opción: rango de O₂,Tiempo de recuperación de O₂ tras 30 s con la puerta abierta y un 5 % de vol. de O₂,Desviación de temperatura a -80 °C,Fluctuación de la temperatura a -80 °C,Tiempo de refrigeración de 22 °C a -80 °C,Energieverbrauch bei Sollwert -80 °C und Tᵤ = 20 °C,Bastidores por nivel,Tiempo de calentamiento a 150 °C,Tiempo de recuperación tras 30 s con la puerta abierta a 150 °C,Desviación de temperatura a 150 °C,Fluctuación de la temperatura a 150 °C,Tasa de intercambio de aire a 100 °C,Consumo energético a 150 °C,Tasa de intercambio de aire a 150 °C,Rango de temperatura con humedad,Desviación de temperatura a 25 °C y 60 % h.r.,Desviación de temperatura a 40 °C y 75 % h.r.,Fluctuación de la temperatura a 25 °C y 60 % h.r.,Fluctuación de la temperatura a 40 °C y 75 % h.r.,Tiempo de recuperación tras 30 s con la puerta abierta a 25 °C y 60 % de h.r.,Tiempo de recuperación tras 30 s con la puerta abierta a 40 °C y 75 % de h.r.,Consumo energético a 25 °C y 60 % h.r.,Consumo energético a 40 °C y 75 % h.r.,Consumo energético a 85 °C y 85 % h.r.,Desviación de temperatura en el espacio en función del valor de consigna,Fluctuación de la temperatura en función del valor de consigna,Velocidad media de calentamiento según IEC 60068-3-5,Tiempo de refrigeración de 180 °C a -40 °C,Velocidad media de refrigeración según IEC 60068-3-5,Consumo energético a 20 °C,Fluctuación de la temperatura con humedad en función del valor de consigna,Desviación momentánea de la humedad con humedad en función del valor de consigna,Compensación de calor máxima a 25 °C y 90 % h.r.,Tiempo de refrigeración de 180 °C a -70 °C
B 28,incubadoras-estandar,Modelo B 28 | Estándar-Incubadoras con regulación mecánica,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/B_028_GF_Web_670x515.jpg?v=20241220023016,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/b-28,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,Con las incubadoras de la serie B dispondrá de un equipo fiable y eficaz con un sólido equipamiento a un precio atractivo.,"Rango de temperatura:
de +30 °C a +70 °C|Termostato hidráulico-mecánico|Limitador de temperatura de clase 1|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16522,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16529,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16536,B028-230V,9010-0002,30...70 °C,"1,5 ± K","1,0 ± K",95 min,230 V,50/60 Hz,"0,25 kW","6,3 A",1~,1,2/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 28,incubadoras-estandar,Modelo B 28 | Estándar-Incubadoras con regulación mecánica,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/B_028_GF_Web_670x515.jpg?v=20241220023016,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/b-28,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,Con las incubadoras de la serie B dispondrá de un equipo fiable y eficaz con un sólido equipamiento a un precio atractivo.,"Rango de temperatura:
de +30 °C a +70 °C|Termostato hidráulico-mecánico|Limitador de temperatura de clase 1|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16522,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16529,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16536,B028-230V-T,9010-0004,30...70 °C,"1,5 ± K","1,0 ± K",95 min,,50/60 Hz,"0,25 kW","6,3 A",1~,1,2/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 28,incubadoras-estandar,Modelo B 28 | Estándar-Incubadoras con regulación mecánica,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/B_028_GF_Web_670x515.jpg?v=20241220023016,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/b-28,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,Con las incubadoras de la serie B dispondrá de un equipo fiable y eficaz con un sólido equipamiento a un precio atractivo.,"Rango de temperatura:
de +30 °C a +70 °C|Termostato hidráulico-mecánico|Limitador de temperatura de clase 1|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16522,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16529,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16536,B028-120V,9010-0067,30...70 °C,"1,5 ± K","1,0 ± K",95 min,120 V,60 Hz,"0,25 kW","6,3 A",1~,1,2/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF 56,incubadoras-estandar,Modelo BF 56 | Estándar-Incubadoras con convección forzada,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/BD_BF_056_GF_37Grad_Web_670x515.jpg?v=20241220023017,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/bf-56,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,"La incubadora BINDER de la serie BF Avantgarde.Line con convección forzada resulta idónea para todas las aplicaciones de incubación delicadas, especialmente a plena carga y con altos índices de carga. Esta incubadora destaca por su extraordinaria homogeneidad y por la rapidez de sus tiempos de recuperación.","Rango de temperatura:
desde 7 °C por encima de la temperatura ambiente hasta 100 °C|Gran precisión de temperatura gracias a la tecnología APT.line™|Convección forzada|Controlador con pantalla LCD|Regulación de la rejilla de aire por control electromecánico|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas|Posibilidad de apilamiento|Controlador de selección de temperatura clase 3.1 (DIN 12880) integrado con alarma óptica|Diseño ergonómico de la manilla|Conexión USB para el registro de los datos",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16779,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16786,,BF056-230V,9010-0313,+7 °C por encima de la temperatura ambiente hasta 100 °C,"0,2 ± K","0,1 ± K",6 min,230 V,50/60 Hz,"0,4 kW","6,3 A",1~,1,2/4,"1,0 ± K","0,2 ± K",35 min,3 min,1,43 dB(A),190 Wh/h,55 Wh/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF 56,incubadoras-estandar,Modelo BF 56 | Estándar-Incubadoras con convección forzada,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/BD_BF_056_GF_37Grad_Web_670x515.jpg?v=20241220023017,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/bf-56,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,"La incubadora BINDER de la serie BF Avantgarde.Line con convección forzada resulta idónea para todas las aplicaciones de incubación delicadas, especialmente a plena carga y con altos índices de carga. Esta incubadora destaca por su extraordinaria homogeneidad y por la rapidez de sus tiempos de recuperación.","Rango de temperatura:
desde 7 °C por encima de la temperatura ambiente hasta 100 °C|Gran precisión de temperatura gracias a la tecnología APT.line™|Convección forzada|Controlador con pantalla LCD|Regulación de la rejilla de aire por control electromecánico|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas|Posibilidad de apilamiento|Controlador de selección de temperatura clase 3.1 (DIN 12880) integrado con alarma óptica|Diseño ergonómico de la manilla|Conexión USB para el registro de los datos",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16779,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16786,,BF056UL-120V,9010-0314,+7 °C por encima de la temperatura ambiente hasta 100 °C,"0,2 ± K","0,1 ± K",6 min,120 V,60 Hz,"0,4 kW","12,5 A",1~,1,2/4,"1,0 ± K","0,2 ± K",35 min,3 min,1,43 dB(A),190 Wh/h,55 Wh/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF 115,incubadoras-estandar,Modelo BF 115 | Estándar-Incubadoras con convección forzada,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/BD_BF_115_GF_37Grad_Web_670x515.jpg?v=20241220023017,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/bf-115,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,"La incubadora BINDER de la serie BF Avantgarde.Line con convección forzada resulta idónea para todas las aplicaciones de incubación delicadas, especialmente a plena carga y con altos índices de carga. Esta incubadora destaca por su extraordinaria homogeneidad y por la rapidez de sus tiempos de recuperación.","Rango de temperatura:
desde 8 °C por encima de la temperatura ambiente hasta 100 °C|Gran precisión de temperatura gracias a la tecnología APT.line™|Convección forzada|Controlador con pantalla LCD|Regulación de la rejilla de aire por control electromecánico|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas|Posibilidad de apilamiento|Controlador de selección de temperatura clase 3.1 (DIN 12880) integrado con alarma óptica|Diseño ergonómico de la manilla|Conexión USB para el registro de los datos",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16822,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16829,,BF115-230V,9010-0315,+8 °C por encima de la temperatura ambiente hasta 100 °C,"0,3 ± K","0,1 ± K",8 min,230 V,50/60 Hz,"0,4 kW","6,3 A",1~,1,2/5,"1,6 ± K","0,2 ± K",65 min,3 min,1,43 dB(A),235 Wh/h,60 Wh/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF 115,incubadoras-estandar,Modelo BF 115 | Estándar-Incubadoras con convección forzada,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/BD_BF_115_GF_37Grad_Web_670x515.jpg?v=20241220023017,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/bf-115,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,"La incubadora BINDER de la serie BF Avantgarde.Line con convección forzada resulta idónea para todas las aplicaciones de incubación delicadas, especialmente a plena carga y con altos índices de carga. Esta incubadora destaca por su extraordinaria homogeneidad y por la rapidez de sus tiempos de recuperación.","Rango de temperatura:
desde 8 °C por encima de la temperatura ambiente hasta 100 °C|Gran precisión de temperatura gracias a la tecnología APT.line™|Convección forzada|Controlador con pantalla LCD|Regulación de la rejilla de aire por control electromecánico|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas|Posibilidad de apilamiento|Controlador de selección de temperatura clase 3.1 (DIN 12880) integrado con alarma óptica|Diseño ergonómico de la manilla|Conexión USB para el registro de los datos",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16822,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16829,,BF115UL-120V,9010-0316,+8 °C por encima de la temperatura ambiente hasta 100 °C,"0,3 ± K","0,1 ± K",8 min,120 V,60 Hz,"0,4 kW","12,5 A",1~,1,2/5,"1,6 ± K","0,2 ± K",65 min,3 min,1,43 dB(A),235 Wh/h,60 Wh/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF 260,incubadoras-estandar,Modelo BF 260 | Estándar-Incubadoras con convección forzada,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/BD_BF_260_GF_37Grad_Web_670x515.jpg?v=20241220023018,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/bf-260,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,"La incubadora BINDER de la serie BF Avantgarde.Line con convección forzada resulta idónea para todas las aplicaciones de incubación delicadas, especialmente a plena carga y con altos índices de carga. Esta incubadora destaca por su extraordinaria homogeneidad y por la rapidez de sus tiempos de recuperación.","Rango de temperatura:
desde 7 °C por encima de la temperatura ambiente hasta 100 °C|Gran precisión de temperatura gracias a la tecnología APT.line™|Convección forzada|Controlador con pantalla LCD|Regulación de la rejilla de aire por control electromecánico|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas|Controlador de selección de temperatura clase 3.1 (DIN 12880) integrado con alarma óptica|Diseño ergonómico de la manilla|Conexión USB para el registro de los datos",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16865,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16872,,BF260-230V,9010-0319,+7 °C por encima de la temperatura ambiente hasta 100 °C,"0,2 ± K","0,1 ± K",7 min,230 V,50/60 Hz,"0,9 kW","8,0 A",1~,1,2/8,"1,2 ± K","0,3 ± K",30 min,3 min,1,43 dB(A),275 Wh/h,65 Wh/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF 260,incubadoras-estandar,Modelo BF 260 | Estándar-Incubadoras con convección forzada,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/BD_BF_260_GF_37Grad_Web_670x515.jpg?v=20241220023018,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/bf-260,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,"La incubadora BINDER de la serie BF Avantgarde.Line con convección forzada resulta idónea para todas las aplicaciones de incubación delicadas, especialmente a plena carga y con altos índices de carga. Esta incubadora destaca por su extraordinaria homogeneidad y por la rapidez de sus tiempos de recuperación.","Rango de temperatura:
desde 7 °C por encima de la temperatura ambiente hasta 100 °C|Gran precisión de temperatura gracias a la tecnología APT.line™|Convección forzada|Controlador con pantalla LCD|Regulación de la rejilla de aire por control electromecánico|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas|Controlador de selección de temperatura clase 3.1 (DIN 12880) integrado con alarma óptica|Diseño ergonómico de la manilla|Conexión USB para el registro de los datos",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16865,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16872,,BF260UL-120V,9010-0320,+7 °C por encima de la temperatura ambiente hasta 100 °C,"0,2 ± K","0,1 ± K",7 min,120 V,60 Hz,1 kW,"12,5 A",1~,1,2/8,"1,2 ± K","0,3 ± K",30 min,3 min,1,43 dB(A),275 Wh/h,65 Wh/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF 720,incubadoras-estandar,Modelo BF 720 | Estándar-Incubadoras con convección forzada,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/BD_BF_ED_FD_FED_720_GF_AL_Web_670x515.jpg?v=20241220023018,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/bf-720,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/lista-productos-incubadoras-estandar,"La incubadora BINDER de la serie BF Avantgarde.Line con convección forzada resulta idónea para todas las aplicaciones de incubación delicadas, especialmente a plena carga y con altos índices de carga. Esta incubadora destaca por su extraordinaria homogeneidad y por la rapidez de sus tiempos de recuperación.","Rango de temperatura (modelo 56 | 260):
desde 7 °C por encima de la temperatura ambiente hasta 100 °C|Rango de temperatura (modelo 115):
desde 8 °C por encima de la temperatura ambiente hasta 100 °C|Gran precisión de temperatura gracias a la tecnología APT.line™|Convección forzada|Controlador con pantalla LCD|Regulación de la rejilla de aire por control electromecánico|Puerta interior de vidrio de seguridad (ESG)|2 rejillas cromadas|Posibilidad de apilar equipos de hasta 115 L|4 ruedas estables, dos con freno de estacionamiento, a partir de 720 L|Controlador de selección de temperatura clase 3.1 (DIN 12880) integrado con alarma óptica|Diseño ergonómico de la manilla|Conexión USB para el registro de los datos",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16894,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-estandar/producto/asset/16901,,BF720-230V,9010-0321,+10 °C por encima de la temperatura ambiente hasta 100 °C,"0,3 ± K","0,1 ± K",15 min,230 V,50/60 Hz,"1,75 kW",,1~,2,2/16,"1,6 ± K","0,2 ± K",45 min,4 min,2,43 dB(A),580 Wh/h,130 Wh/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
